,symbol,company,sector,industry,city,state
179,ES,Eversource Energy,Utilities,Multi-Utilities,Springfield, Massachusetts
180,RE,Everest Re Group Ltd.,Financials,Reinsurance,Hamilton, Bermuda
181,EXC,Exelon Corp.,Utilities,Multi-Utilities,Chicago, Illinois
182,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,Bellevue, Washington
183,EXPD,Expeditors,Industrials,Air Freight & Logistics,Seattle, Washington
184,ESRX,Express Scripts,Health Care,Health Care Distributors,Cool Valley, Missouri
185,EXR,Extra Space Storage,Real Estate,Specialized REITs,Salt Lake City, Utah
186,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,Irving, Texas
187,FFIV,F5 Networks,Information Technology,Communications Equipment,Seattle, Washington
188,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,Menlo Park, California
189,FAST,Fastenal Co,Industrials,Building Products,Winona, Minnesota
190,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Rockville, Maryland
191,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,Memphis, Tennessee
192,FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,Jacksonville, Florida
193,FITB,Fifth Third Bancorp,Financials,Regional Banks,Cincinnati, Ohio
194,FE,FirstEnergy Corp,Utilities,Electric Utilities,Akron, Ohio
195,FISV,Fiserv Inc,Information Technology,Internet Software & Services,Brookfield, Wisconsin
196,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsources Services,Norcross, Georgia
197,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,Wilsonville, Oregon
198,FLS,Flowserve Corporation,Industrials,Industrial Machinery,Irving, Texas
199,FLR,Fluor Corp.,Industrials,Construction & Engineering,Irving, Texas
200,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania
201,FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,New York, New York
202,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,Dearborn, Michigan
203,FTNT,Fortinet,Information Technology,Systems Software,Sunnyvale, California
204,FTV,Fortive Corp,Industrials,Industrial Machinery,Everett, Washington
205,FBHS,Fortune Brands Home & Security,Industrials,Building Products,Deerfield, Illinois
206,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,San Mateo, California
207,FCX,Freeport-McMoRan Inc.,Materials,Copper,Phoenix, Arizona
208,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,San Francisco, California
209,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,Schaffhausen, Switzerland
210,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,Stamford, Connecticut
211,GD,General Dynamics,Industrials,Aerospace & Defense,Falls Church, Virginia
212,GE,General Electric,Industrials,Industrial Conglomerates,Boston, Massachusetts
213,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Golden Valley, Minnesota
214,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan
215,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,Atlanta, Georgia
216,GILD,Gilead Sciences,Health Care,Biotechnology,Foster City, California
217,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,Atlanta, Georgia
218,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,New York, New York
219,GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,Akron, Ohio
220,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,Lake Forest, Illinois
221,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,Houston, Texas
222,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Winston-Salem, North Carolina
223,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee, Wisconsin
224,HRS,Harris Corporation,Industrials,Aerospace & Defense,Melbourne, Florida
225,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,Hartford, Connecticut
226,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island
227,HCA,HCA Holdings,Health Care,Health Care Facilities,Nashville, Tennessee
228,HCP,HCP Inc.,Real Estate,Health Care REITs,Long Beach, California
229,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,Tulsa, Oklahoma[7]
230,HSIC,Henry Schein,Health Care,Health Care Distributors,Melville, New York
231,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,Hershey, Pennsylvania
232,HES,Hess Corporation,Energy,Integrated Oil & Gas,New York, New York
233,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California
234,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Tysons Corner, Virginia
235,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,Dallas, Texas
236,HOLX,Hologic,Health Care,Health Care Equipment,Marlborough, Massachusetts
237,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia
238,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,Morristown, New Jersey
239,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota
240,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Bethesda, Maryland
241,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Palo Alto, California
242,HUM,Humana Inc.,Health Care,Managed Health Care,Louisville, Kentucky
243,HBAN,Huntington Bancshares,Financials,Regional Banks,Columbus, Ohio
244,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Newport News, Virginia
245,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,Westbrook, Maine
246,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,London, United Kingdom
247,ITW,Illinois Tool Works,Industrials,Industrial Machinery,Glenview, Illinois
248,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,San Diego, California
249,IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,Dublin, Ireland
250,INTC,Intel Corp.,Information Technology,Semiconductors,Santa Clara, California
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Atlanta, Georgia
252,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,Armonk, New York
253,INCY,Incyte,Health Care,Biotechnology,Wilmington, Delaware
254,IP,International Paper,Materials,Paper Packaging,Memphis, Tennessee
255,IPG,Interpublic Group,Communication Services,Advertising,New York, New York
256,IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,New York, New York
257,INTU,Intuit Inc.,Information Technology,Internet Software & Services,Mountain View, California
258,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,Sunnyvale, California
259,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,Atlanta, Georgia
260,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,Oxford, Massachusetts
261,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,Durham, North Carolina
262,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,Boston, Massachusetts
263,JKHY,Jack Henry & Associates Inc,Information Technology,Data Processing & Outsourced Services,Monett, Missouri
264,JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,Pasadena, California
265,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,Lowell, Arkansas
266,JEF,Jefferies Financial Group,Financials,Multi-Sector Holdings,New York, New York
267,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,Orrville, Ohio
268,JNJ,Johnson & Johnson,Health Care,Health Care Equipment,New Brunswick, New Jersey
269,JCI,Johnson Controls International,Industrials,Building Products,Cork, Ireland
270,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,New York, New York
271,JNPR,Juniper Networks,Information Technology,Communications Equipment,Sunnyvale, California
272,KSU,Kansas City Southern,Industrials,Railroads,Kansas City, Missouri
273,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,Battle Creek, Michigan
274,KEY,KeyCorp,Financials,Regional Banks,Cleveland, Ohio
275,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,Santa Rosa, California
276,KMB,Kimberly-Clark,Consumer Staples,Household Products,Irving, Texas
277,KIM,Kimco Realty,Real Estate,Retail REITs,New Hyde Park, New York
278,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Houston, Texas
279,KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,Milpitas, California
280,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,Menomonee Falls, Wisconsin
281,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,Pittsburgh, Pennsylvania
282,KR,Kroger Co.,Consumer Staples,Food Retail,Cincinnati, Ohio
283,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,Columbus, Ohio
284,LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,New York, New York
285,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,Burlington, North Carolina
286,LRCX,Lam Research,Information Technology,Semiconductor Equipment,Fremont, California
287,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,Eagle, Idaho
288,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,Carthage, Missouri
289,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,Miami, Florida
290,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,Indianapolis, Indiana
291,LNC,Lincoln National,Financials,Multi-line Insurance,Radnor, Pennsylvania
292,LIN,Linde plc,Materials,Industrial Gases,Guildford," Surrey, United Kingdom"
293,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,Chicago, Illinois
294,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,Bethesda, Maryland
295,L,Loews Corp.,Financials,Multi-line Insurance,New York, New York
296,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,Mooresville, North Carolina
297,LYB,LyondellBasell,Materials,Specialty Chemicals,Rotterdam, Netherlands
298,MTB,M&T Bank Corp.,Financials,Regional Banks,Buffalo, New York
299,MAC,Macerich,Real Estate,Retail REITs,Santa Monica, California
300,M,Macy's Inc.,Consumer Discretionary,Department Stores,Cincinnati, Ohio
301,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,Houston, Texas
302,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Findlay, Ohio
303,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Bethesda, Maryland
304,MMC,Marsh & McLennan,Financials,Insurance Brokers,New York, New York
305,MLM,Martin Marietta Materials,Materials,Construction Materials,Raleigh, North Carolina
306,MAS,Masco Corp.,Industrials,Building Products,Taylor, Michigan
307,MA,Mastercard Inc.,Information Technology,Internet Software & Services,Harrison, New York
308,MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,El Segundo, California
309,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,Sparks, Maryland
310,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,San Jose, California
311,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,Chicago, Illinois
312,MCK,McKesson Corp.,Health Care,Health Care Distributors,San Francisco, California
313,MDT,Medtronic plc,Health Care,Health Care Equipment,Dublin, Ireland
314,MRK,Merck & Co.,Health Care,Pharmaceuticals,Whitehouse Station, New Jersey
315,MET,MetLife Inc.,Financials,Life & Health Insurance,New York, New York
316,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Columbus, Ohio
317,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,Paradise, Nevada
318,KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York
319,MCHP,Microchip Technology,Information Technology,Semiconductors,Chandler, Arizona
320,MU,Micron Technology,Information Technology,Semiconductors,Boise, Idaho
321,MSFT,Microsoft Corp.,Information Technology,Systems Software,Redmond, Washington
322,MAA,Mid-America Apartments,Real Estate,Residential REITs,Memphis, Tennessee
323,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,Amsterdam, New York
324,TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,Denver, Colorado
325,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,Northfield, Illinois
326,MNST,Monster Beverage,Consumer Staples,Soft Drinks,Corona, California
327,MCO,Moody's Corp,Financials,Financial Exchanges & Data,New York, New York
328,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,New York, New York
329,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,Plymouth, Minnesota
330,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,Schaumburg, Illinois
331,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,New York, New York
332,MYL,Mylan N.V.,Health Care,Pharmaceuticals,Amsterdam, Netherlands
333,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,New York, New York
334,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,Houston, Texas
335,NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,San Francisco, California
336,NTAP,NetApp,Information Technology,Internet Software & Services,Sunnyvale, California
337,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,Los Gatos, California
338,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,Sandy Springs, Georgia
339,NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,Houston, Texas
340,NEM,Newmont Mining Corporation,Materials,Gold,Denver, Colorado
341,NWSA,News Corp. Class A,Communication Services,Publishing,New York, New York
342,NWS,News Corp. Class B,Communication Services,Publishing,New York, New York
343,NEE,NextEra Energy,Utilities,Multi-Utilities,Juno Beach, Florida
344,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,New York, New York
345,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Washington County, Oregon
346,NI,NiSource Inc.,Utilities,Multi-Utilities,Merrillville, Indiana
347,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,Houston, Texas
348,JWN,Nordstrom,Consumer Discretionary,Department Stores,Seattle, Washington
349,NSC,Norfolk Southern Corp.,Industrials,Railroads,Norfolk, Virginia
350,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,Chicago, Illinois
351,NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,West Falls Church, Virginia
352,NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami, Florida
353,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Princeton, New Jersey
354,NUE,Nucor Corp.,Materials,Steel,Charlotte, North Carolina
355,NVDA,Nvidia Corporation,Information Technology,Semiconductors,Santa Clara, California
356,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,Springfield, Missouri
357,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Los Angeles, California
358,OMC,Omnicom Group,Communication Services,Advertising,New York, New York
359,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,Tulsa, Oklahoma
360,ORCL,Oracle Corp.,Information Technology,Application Software,Redwood Shores, California
361,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,Bellevue, Washington
362,PKG,Packaging Corporation of America,Materials,Paper Packaging,Lake Forest, Illinois
363,PH,Parker-Hannifin,Industrials,Industrial Machinery,Cleveland, Ohio
364,PAYX,Paychex Inc.,Information Technology,Internet Software & Services,Penfield, New York
365,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,San Jose, California
366,PNR,Pentair plc,Industrials,Industrial Machinery,Worsley, UK
367,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,Bridgeport, Connecticut
368,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,Purchase, New York
369,PKI,PerkinElmer,Health Care,Health Care Equipment,Waltham, Massachusetts
370,PRGO,Perrigo,Health Care,Pharmaceuticals,Dublin, Ireland
371,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,New York, New York
372,PCG,PG&E Corp.,Utilities,Multi-Utilities,San Francisco, California
373,PM,Philip Morris International,Consumer Staples,Tobacco,New York, New York
374,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,Houston, Texas
375,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,Phoenix, Arizona
376,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,Irving, Texas
377,PNC,PNC Financial Services,Financials,Regional Banks,Pittsburgh, Pennsylvania
378,RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York
379,PPG,PPG Industries,Materials,Specialty Chemicals,Pittsburgh, Pennsylvania
380,PPL,PPL Corp.,Utilities,Electric Utilities,Allentown, Pennsylvania
381,PFG,Principal Financial Group,Financials,Life & Health Insurance,Des Moines, Iowa
382,PG,Procter & Gamble,Consumer Staples,Personal Products,Cincinnati, Ohio
383,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,Mayfield Village, Ohio
384,PLD,Prologis,Real Estate,Industrial REITs,San Francisco, California
385,PRU,Prudential Financial,Financials,Life & Health Insurance,Newark, New Jersey
386,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,Newark, New Jersey
387,PSA,Public Storage,Real Estate,Specialized REITs,Glendale, California
388,PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,Atlanta, Georgia
389,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York, New York
390,QRVO,Qorvo,Information Technology,Semiconductors,Greensboro, North Carolina
391,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,Houston, Texas
392,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,San Diego, California
393,DGX,Quest Diagnostics,Health Care,Health Care Services,Madison, New Jersey
394,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,St. Petersburg, Florida
395,RTN,Raytheon Co.,Industrials,Aerospace & Defense,Waltham, Massachusetts
396,O,Realty Income Corporation,Real Estate,Retail REITs,San Diego, California
397,RHT,Red Hat Inc.,Information Technology,Systems Software,Raleigh, North Carolina
398,REG,Regency Centers Corporation,Real Estate,Retail REITs,Jacksonville, Florida
399,REGN,Regeneron,Health Care,Biotechnology,Tarrytown, New York
400,RF,Regions Financial Corp.,Financials,Regional Banks,Birmingham, Alabama
401,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,Phoenix, Arizona
402,RMD,ResMed,Health Care,Health Care Equipment,San Diego, California
403,RHI,Robert Half International,Industrials,Human Resource & Employment Services,Menlo Park, California
404,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,Milwaukee, Wisconsin
405,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,Atlanta, Georgia
406,ROP,Roper Technologies,Industrials,Industrial Conglomerates,Sarasota, Florida
407,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,Pleasanton, California
408,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami, Florida
409,CRM,Salesforce.com,Information Technology,Internet Software & Services,San Francisco, California
410,SBAC,SBA Communications,Real Estate,Specialized REITs,Boca Raton, Florida
411,SCG,SCANA Corp,Utilities,Multi-Utilities,Cayce, South Carolina
412,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,Curaçao, Kingdom of the Netherlands
413,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",Dublin, Ireland
414,SEE,Sealed Air,Materials,Paper Packaging,Elmwood Park, New Jersey
415,SRE,Sempra Energy,Utilities,Multi-Utilities,San Diego, California
416,SHW,Sherwin-Williams,Materials,Specialty Chemicals,Cleveland, Ohio
417,SPG,Simon Property Group Inc,Real Estate,Retail REITs,Indianapolis, Indiana
418,SWKS,Skyworks Solutions,Information Technology,Semiconductors,Woburn, Massachusetts
419,SLG,SL Green Realty,Real Estate,Office REITs,New York, New York
420,SNA,Snap-on,Industrials,Industrial Machinery,Kenosha, Wisconsin
421,SO,Southern Co.,Utilities,Electric Utilities,Atlanta, Georgia
422,LUV,Southwest Airlines,Industrials,Airlines,Dallas, Texas
423,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,New York, New York
424,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,New Britain, Connecticut
425,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,Seattle, Washington
426,STT,State Street Corp.,Financials,Asset Management & Custody Banks,Boston, Massachusetts
427,SYK,Stryker Corp.,Health Care,Health Care Equipment,Kalamazoo, Michigan
428,STI,SunTrust Banks,Financials,Regional Banks,Atlanta, Georgia
429,SIVB,SVB Financial,Financials,Regional Banks,Santa Clara, California
430,SYMC,Symantec Corp.,Information Technology,Application Software,Mountain View, California
